t,level,bass,mid,treble,flux,argmax
1.19583,0.03036,0.0019,0.2577,0.0000,0.00233,19
1.20744,0.03139,0.0000,0.2516,0.0000,0.00056,20
1.21905,0.03134,0.0025,0.2588,0.0000,0.00368,19
1.23066,0.03155,0.0008,0.2550,0.0000,0.00061,20
1.24227,0.03060,0.0015,0.2567,0.0000,0.00164,20
1.25388,0.03096,0.0004,0.2538,0.0000,0.00023,20
1.26549,0.03147,0.0020,0.2583,0.0000,0.00253,20
1.2771,0.03158,0.0009,0.2546,0.0000,0.00006,20
1.28871,0.03096,0.0008,0.2548,0.0000,0.00082,20
1.30032,0.03088,0.0010,0.2562,0.0000,0.00060,20
1.31193,0.03116,0.0013,0.2568,0.0000,0.00052,20
1.32354,0.03132,0.0013,0.2566,0.0000,0.00054,20
1.33515,0.03142,0.0007,0.2533,0.0000,0.00006,20
1.34676,0.03096,0.0023,0.2590,0.0000,0.00242,20
1.35837,0.03118,0.0007,0.2549,0.0000,0.00032,20
1.36998,0.03064,0.0015,0.2570,0.0000,0.00126,20
1.38159,0.03171,0.0001,0.2519,0.0000,0.00064,20
1.3932,0.03114,0.0024,0.2595,0.0000,0.00328,19
1.40481,0.03128,0.0001,0.2525,0.0000,0.00077,20
1.41642,0.03035,0.0019,0.2577,0.0000,0.00269,19
1.42803,0.03165,0.0002,0.2521,0.0000,0.00092,20
1.43964,0.03138,0.0048,0.2599,0.0000,0.00431,19
1.45125,0.03159,0.0001,0.2506,0.0000,0.00076,20
1.46286,0.03038,0.0024,0.2583,0.0000,0.00385,19
1.47447,0.03141,0.0002,0.2528,0.0000,0.00067,20
1.48608,0.03099,0.0025,0.2599,0.0000,0.00361,19
1.49769,0.03174,0.0000,0.2498,0.0000,0.00029,20
1.5093,0.03058,0.0021,0.2585,0.0000,0.00385,19
1.52091,0.03138,0.0003,0.2536,0.0000,0.00047,20
1.53252,0.03066,0.0028,0.2593,0.0000,0.00272,19
1.54413,0.03157,0.0002,0.2508,0.0000,0.00037,20
1.55574,0.03126,0.0032,0.2590,0.0000,0.00358,19
1.56735,0.03140,0.0005,0.2553,0.0000,0.00070,20
1.57896,0.03060,0.0019,0.2573,0.0000,0.00172,20
1.59057,0.03116,0.0001,0.2527,0.0000,0.00035,20
1.60218,0.03146,0.0020,0.2574,0.0000,0.00280,20
1.61379,0.03162,0.0009,0.2557,0.0000,0.00031,20
1.6254,0.03067,0.0008,0.2551,0.0000,0.00083,20
1.63701,0.03087,0.0009,0.2554,0.0000,0.00017,20
1.64862,0.03135,0.0015,0.2576,0.0000,0.00138,20
1.66023,0.03147,0.0017,0.2564,0.0000,0.00020,20
1.67184,0.03120,0.0005,0.2537,0.0000,0.00064,20
1.68345,0.03067,0.0017,0.2576,0.0000,0.00178,20
1.69506,0.03133,0.0008,0.2556,0.0000,0.00033,20
1.70667,0.03097,0.0015,0.2569,0.0000,0.00113,20
1.71828,0.03162,0.0002,0.2513,0.0000,0.00025,20
1.72989,0.03100,0.0024,0.2596,0.0000,0.00343,19
1.7415,0.03120,0.0003,0.2537,0.0000,0.00043,20
1.75311,0.03063,0.0023,0.2580,0.0000,0.00227,19
1.76472,0.03172,0.0001,0.2512,0.0000,0.00081,20
1.77633,0.03129,0.0045,0.2603,0.0000,0.00428,19
1.78794,0.03147,0.0000,0.2519,0.0000,0.00086,20
1.79955,0.03020,0.0021,0.2577,0.0000,0.00310,19
1.81116,0.03154,0.0003,0.2518,0.0000,0.00083,20
1.82277,0.03113,0.0026,0.2595,0.0000,0.00392,19
1.83438,0.03167,0.0000,0.2505,0.0000,0.00048,20
1.84599,0.03034,0.0020,0.2581,0.0000,0.00373,19
1.8576,0.03136,0.0002,0.2534,0.0000,0.00050,20
1.86921,0.03105,0.0039,0.2602,0.0000,0.00366,19
1.88082,0.03169,0.0001,0.2500,0.0000,0.00026,20
1.89243,0.03099,0.0025,0.2589,0.0000,0.00381,19
1.90404,0.03128,0.0008,0.2548,0.0000,0.00052,20
1.91565,0.03068,0.0021,0.2583,0.0000,0.00177,20
1.92726,0.03142,0.0001,0.2519,0.0000,0.00034,20
1.93887,0.03127,0.0015,0.2568,0.0000,0.00246,20
1.95048,0.03150,0.0012,0.2563,0.0000,0.00065,20
1.96209,0.03719,0.0008,0.2672,0.1067,0.05424,20
1.9737,0.04205,0.1171,0.3358,0.3063,0.13967,20
1.98531,0.04453,0.1781,0.3769,0.4003,0.07065,19
1.99692,0.04558,0.1980,0.3976,0.4453,0.03213,19
2.00853,0.04581,0.1903,0.4015,0.4643,0.01132,20
2.02014,0.04578,0.1622,0.3904,0.4617,0.00157,20
2.03175,0.04653,0.1220,0.3793,0.4392,0.00229,20
2.04336,0.04649,0.0801,0.3585,0.4093,0.00062,20
2.05497,0.04150,0.0313,0.3422,0.3730,0.00066,20
2.06658,0.03637,0.0181,0.3265,0.3407,0.00091,20
2.07819,0.03418,0.0070,0.3150,0.3095,0.00050,20
2.0898,0.03244,0.0083,0.3051,0.2732,0.00129,20
2.10141,0.03241,0.0000,0.2820,0.2269,0.00032,20
2.11302,0.03132,0.0025,0.2784,0.1688,0.00436,19
2.12463,0.03154,0.0008,0.2550,0.0829,0.00065,20
2.13624,0.03031,0.0021,0.2582,0.0040,0.00240,19
2.14785,0.03167,0.0000,0.2509,0.0000,0.00077,20
2.15946,0.03120,0.0027,0.2599,0.0000,0.00418,19
2.17107,0.03154,0.0001,0.2521,0.0000,0.00084,20
2.18268,0.03030,0.0020,0.2581,0.0000,0.00328,19
2.19429,0.03144,0.0001,0.2524,0.0000,0.00074,20
2.2059,0.03391,0.0042,0.2601,0.0000,0.00433,19
2.21751,0.04002,0.0011,0.2901,0.2270,0.11993,20
2.22912,0.04211,0.0169,0.3441,0.3646,0.08629,19
2.24073,0.04405,0.0523,0.3671,0.4319,0.04774,20
2.25234,0.04445,0.0813,0.3817,0.4644,0.02629,19
2.26395,0.04540,0.1051,0.3828,0.4725,0.01156,20
2.27556,0.04518,0.0958,0.3820,0.4583,0.00432,20
2.28717,0.04548,0.0854,0.3748,0.4267,0.00393,20
2.29878,0.04323,0.0658,0.3566,0.3972,0.00090,19
2.31039,0.03833,0.0412,0.3396,0.3653,0.00008,20
2.322,0.03537,0.0120,0.3229,0.3311,0.00073,20
2.33361,0.03340,0.0160,0.3146,0.2958,0.00221,20
2.34522,0.03194,0.0202,0.3014,0.2572,0.00222,20
2.35683,0.03123,0.0206,0.2802,0.2054,0.00052,20
2.36844,0.03178,0.0090,0.2636,0.1348,0.00096,20
2.38005,0.03160,0.0068,0.2573,0.0442,0.00071,20
2.39166,0.03118,0.0003,0.2526,0.0000,0.00082,20
2.40327,0.03063,0.0019,0.2575,0.0000,0.00234,20
2.41488,0.03138,0.0005,0.2555,0.0000,0.00076,20
2.42649,0.03114,0.0023,0.2587,0.0000,0.00207,19
2.4381,0.03159,0.0001,0.2508,0.0000,0.00018,20
2.44971,0.03060,0.0022,0.2589,0.0000,0.00353,19
2.46132,0.03702,0.0232,0.2806,0.1211,0.06869,20
2.47293,0.04075,0.1932,0.3582,0.3133,0.15003,19
2.48454,0.04392,0.2587,0.4000,0.4072,0.07193,20
2.49615,0.04462,0.2830,0.4242,0.4541,0.03543,19
2.50776,0.04537,0.2764,0.4288,0.4702,0.01006,20
2.51937,0.04495,0.2358,0.4159,0.4633,0.00085,19
2.53098,0.04591,0.1434,0.3834,0.4421,0.00058,20
2.54259,0.04581,0.0643,0.3518,0.4109,0.00025,19
2.5542,0.04169,0.0395,0.3367,0.3790,0.00121,20
2.5658,0.03623,0.0149,0.3263,0.3517,0.00137,19
2.57741,0.03435,0.0040,0.3138,0.3195,0.00105,20
2.58902,0.03263,0.0123,0.3039,0.2809,0.00324,19
2.60063,0.03246,0.0039,0.2848,0.2370,0.00023,20
2.61224,0.03113,0.0048,0.2738,0.1793,0.00263,20
2.62385,0.03130,0.0005,0.2569,0.0983,0.00035,20
2.63546,0.03108,0.0023,0.2591,0.0074,0.00172,20
2.64707,0.03139,0.0004,0.2529,0.0000,0.00026,20
2.65868,0.03134,0.0014,0.2565,0.0000,0.00146,20
2.67029,0.03126,0.0011,0.2568,0.0000,0.00059,20
2.6819,0.03078,0.0008,0.2560,0.0000,0.00031,20
2.69351,0.03098,0.0008,0.2550,0.0000,0.00010,20
